URL,Original,Corrected
https://hinative.com/questions/23673143,1. The older is 8 and the younger is 1.,1. The older one is 8 and the younger one is 1.
https://hinative.com/questions/23673143,2. It seems like you were latina in your prior life 😂,2. It seems like you were latina in a past life 😂
https://hinative.com/questions/23859056,How do you know when to call your doctor about possible coronavirus?,How do you know when to call your doctor about possibly having coronavirus?
https://hinative.com/questions/23859056,How do you know when to call your doctor about possible coronavirus?,How can you determine when it's necessary to call your doctor about a potential COVID-19 infection?
https://hinative.com/questions/23872751,I'm not that kind of a person,I'm not that kind of person
https://hinative.com/questions/23872629,"An airplane or you can also call it a plane is an air vehicle, which can fly.","An airplane, or you can also call it a plane, is an air vehicle, which can fly."
https://hinative.com/questions/23872629,"To get on ( or ride on?) the airplane, you must go to the airport and show your passport to get on the plane.","To board (and then, fly on) the airplane, you must go to the airport and show your passport to get on the plane."
https://hinative.com/questions/23872457,1. I will saw you the process of getting insulin injections step by step.,1. I will walk you through the process of getting insulin injections step by step.
https://hinative.com/questions/23872457,2. I will saw you how to get injections step by step.,2. I will walk you through how to get injections step by step.
https://hinative.com/questions/23872457,1. I will saw you the process of getting insulin injections step by step.,1. I will walk you through the process of getting insulin injections step by step.
https://hinative.com/questions/23872457,2. I will saw you how to get injections step by step.,2. I will walk you through how to get injections step by step.
https://hinative.com/questions/23872457,1. I will saw you the process of getting insulin injections step by step.,1. I will show you the process of getting insulin injections step by step.
https://hinative.com/questions/23872457,2. I will saw you how to get injections step by step.,"2. I will show you how to get an injection, step by step."
https://hinative.com/questions/23872443,"‎‎In the past time, many people thought people should have children, but nowadays, the thought has changed.","‎‎In the past, many people thought that people should have children, but nowadays, attitudes have changed."
https://hinative.com/questions/23872443,"We should respect each person's decision, so if someone don't want to have children, he/she doesn't have to have children.","We should respect each person's decision, so if someone don't want to have children, he/she doesn't have to have children."
https://hinative.com/questions/23872443,We have no right to interfere with their decision each other.,We have no right to interfere with their decisions.
https://hinative.com/questions/23872377,It is supposed to be for over 65age,It’s supposed to be for over 65.
https://hinative.com/questions/23872377,It is supposed to be for over 65age,It’s supposed to be for over 65.
https://hinative.com/questions/23872363,Standards in health care have improved than before,"Standards in health care have improved.

or

Standards in health care are higher than before."
https://hinative.com/questions/23872363,Standards in health care have improved than before,Standards in healthcare are better than before.
https://hinative.com/questions/23872302,"This morning it was raining so heavy, I took this opportunity to arrange the special sale for our rain items like raincoats and umbrellas in our online store.","This morning it was raining so heavy, I took this opportunity to arrange a special sale for our rain items like raincoats and umbrellas in our online store."
https://hinative.com/questions/23872262,No sooner had I sat back than I was called me to cash register.,"No sooner had I sat down, I was called back to the cash register."
https://hinative.com/questions/23872219,Get on the airplane.,Get ON the plane.
https://hinative.com/questions/23872219,Get in the airplane.,Get ON the plane
https://hinative.com/questions/23872245,“Bluetooth connection breaks time to time.,The Bluetooth connection breaks from time to time or The Bluetooth connection sometimes breaks.
https://hinative.com/questions/23872245,“Bluetooth connection breaks time to time.,My bluetooth loses (or drops) its connection from time to time.
https://hinative.com/questions/23872245,My bluetooth mouse doesn’t move from time to time.,My bluetooth mouse stops moving from time to time.
https://hinative.com/questions/23872154,I'm going to visit my client's office afternoon.,I'm going to visit my client's office this afternoon.
https://hinative.com/questions/23872154,"I'm totally get used of working from home, so it's feeling bothering.","I'm (totally) / I've gotten used to working from home, so it's bothersome / it's bothering me (a bit) ."
https://hinative.com/questions/23872159,1. I have heard anaphylaxis.,1. I have heard OF anaphylaxis.
https://hinative.com/questions/23872159,2. Have you ever heard anaphylaxis?,2. Have you ever heard OF anaphylaxis?
https://hinative.com/questions/23872150,It’s just only ¥100!,It’s just/only ¥100!
https://hinative.com/questions/23872150,It’s cheep.,It’s cheap.
https://hinative.com/questions/23872058,When I went outside I saw a dog barking to a cat.,When I went outside I saw a dog barking at a cat.
https://hinative.com/questions/23872039,"I’ll support my daughter to become whatever she wants to be, but there is only one condition, which is to decide by herself.","I’ll support my daughter to become whatever she wants to be, with only one condition, which is to decide for herself what she wants."
